"","ResponseId","AGE","GENDER","RACE","RACE_13_TEXT","EDUCATION","INCOME","CRT_1","CRT_2","CRT_3","CRT_4","CRT_5","CRT_6","CRT_7","Image1_Condition","Image2_Condition","Image3_Condition","Image4_Condition","Image5_Condition","Image6_Condition","Image7_Condition","Image8_Condition","Image9_Condition","Image10_Condition","Image11_Condition","Image12_Condition","Image13_Condition","Image14_Condition","Image15_Condition","Image16_Condition","Image17_Condition","Image18_Condition","Image19_Condition","Image20_Condition","Image21_Condition","Image22_Condition","Image23_Condition","Image24_Condition","Image25_Condition","Image26_Condition","Image27_Condition","Image28_Condition","Image29_Condition","Image30_Condition","Mancheck_1","A1_1","A1_2","A1_3","A1_4","Mancheck_2","A2_1","A2_2","A2_3","A2_4","Mancheck_3","A3_1","A3_2","A3_3","A3_4","Mancheck_4","A4_1","A4_2","A4_3","A4_4","Mancheck_5","A5_1","A5_2","A5_3","A5_4","Mancheck_6","A6_1","A6_2","A6_3","A6_4","Mancheck_7","A7_1","A7_2","A7_3","A7_4","Mancheck_8","A8_1","A8_2","A8_3","A8_4","Mancheck_9","A9_1","A9_2","A9_3","A9_4","Mancheck_10","A10_1","A10_2","A10_3","A10_4","Mancheck_11","A11_1","A11_2","A11_3","A11_4","Mancheck_12","A12_1","A12_2","A12_3","A12_4","Mancheck_13","A13_1","A13_2","A13_3","A13_4","Mancheck_14","A14_1","A14_2","A14_3","A14_4","Mancheck_15","A15_1","A15_2","A15_3","A15_4","Mancheck_16","A16_1","A16_2","A16_3","A16_4","Mancheck_17","A17_1","A17_2","A17_3","A17_4","Mancheck_18","A18_1","A18_2","A18_3","A18_4","Mancheck_19","A19_1","A19_2","A19_3","A19_4","Mancheck_20","A20_1","A20_2","A20_3","A20_4","Mancheck_21","A21_1","A21_2","A21_3","A21_4","Mancheck_22","A22_1","A22_2","A22_3","A22_4","Mancheck_23","A23_1","A23_2","A23_3","A23_4","Mancheck_24","A24_1","A24_2","A24_3","A24_4","Mancheck_25","A25_1","A25_2","A25_3","A25_4","Mancheck_26","A26_1","A26_2","A26_3","A26_4","Mancheck_27","A27_1","A27_2","A27_3","A27_4","Mancheck_28","A28_1","A28_2","A28_3","A28_4","Mancheck_29","A29_1","A29_2","A29_3","A29_4","Mancheck_30","A30_1","A30_2","A30_3","A30_4"
"122","R_BDhpTP9ld6MMoLL",32,1,4,"-99",4,6,10,5,47,4,29,"20","3",1,1,1,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,2,1,1,1,2,2,1,"5",4,3,3,"1","3","4","3","2","1","5","4","3","4","2","1","1","3","1","2","4","4","2","3","1","3","3","4","3","2","4","4","2","3","2","2","2","4","2","2","1","3","3","1","2","3","3","2","2","1","3","3","3","2","1","4","4","2","2","2","4","4","2","3","2","2","2","3","1","1","3","3","3","2","1","3","3","2","2","1","2","2","2","1","1","4","4","3","3","2","2","3","2","2","1","2","1","3","1","2","4","3","2","2","2","1","1","2","1","1","3","4","3","2","2","3","3","3","2","2","2","3","3","2","1","5","5","2","3","1","5","5","3","3","1","2","2","2","2","2","1","1","3","1","2","1","2","2","1"
"123","R_2dgTZ45E2bAxGYT",47,2,1,"-99",5,8,5,5,47,9,30,"10","3",1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,2,2,1,2,1,"2",3,3,2,"1","2","2","2","2","1","4","4","2","2","2","1","1","2","2","1","3","3","2","2","1","2","2","2","2","1","3","3","2","2","1","2","2","2","2","2","3","3","2","2","2","2","3","2","2","2","3","4","3","3","1","3","3","2","3","1","3","3","3","2","2","1","1","1","2","1","2","2","2","2","2","2","2","1","2","1","3","3","2","2","2","2","2","2","2","2","3","3","2","2","2","1","1","1","1","1","3","3","2","2","1","1","1","1","1","1","2","1","2","2","1","4","4","2","2","1","1","1","1","1","1","3","3","2","2","2","2","3","3","3","2","1","1","2","2","1","3","3","2","2","2","3","3","3","3"
"124","R_2wEIiWqRTRc1YmY",51,1,1,"-99",7,12,5,5,47,4,29,"20","3",2,1,1,1,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,"5",5,2,4,"1","3","2","3","2","1","2","4","2","2","1","3","3","4","2","2","1","1","2","2","1","1","2","1","1","2","2","3","2","2","2","5","4","3","5","2","1","2","2","3","2","2","3","2","3","2","1","1","1","2","2","1","3","1","2","1","1","3","1","2","1","4","3","4","3","2","5","4","4","4","2","5","4","2","4","2","1","2","2","2","1","3","4","1","4","2","4","5","1","4","2","4","3","2","3","2","1","2","1","3","2","5","4","2","4","1","3","2","2","1","2","2","4","1","3","2","3","3","1","4","2","1","2","1","1","2","3","3","2","3","1","4","3","3","2","2","5","5","3","5","2","5","5","2","5"
"125","R_1Cg4siQUpYT6Efi",40,2,1,"-99",5,7,40,5,47,9,15,"10","2",1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,"3",3,4,3,"2","1","1","1","1","2","5","4","4","3","1","1","1","1","2","1","5","5","5","1","2","4","4","4","3","1","5","5","5","3","1","1","1","1","1","1","2","2","2","2","2","5","5","5","5","2","3","2","2","1","2","4","3","4","4","1","5","5","4","4","1","1","1","1","1","1","3","4","3","3","2","4","4","3","3","2","4","3","4","3","2","3","4","3","2","2","3","2","3","2","1","1","1","1","1","1","4","3","3","3","2","3","3","3","2","1","4","3","2","3","1","3","4","4","3","2","3","3","4","3","2","5","4","4","4","1","3","4","3","3","2",NA,NA,NA,NA,"2","4","3","4","4","1","3","4","3","2"
"126","R_2TOhbCegEpu916O",70,1,1,"-99",5,9,10,5,47,6,30,"0","3",1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2,2,1,"4",3,2,2,"2","1","1","1","1","1","3","4","3","3","1","1","1","1","2","1","4","4","3","3","1","1","1","1","1","2","3","3","3","2","2","2","2","3","2","1","2","2","2","3","1","4","4","3","3","1","3","2","2","2","1","4","3","2","2","1","3","3","2","2","1","2","2","3","2","2","2","2","2","2","2","4","3","3","2","2","3","3","2","3","2","2","1","2","2","1","5","4","3","3","1","1","1","1","1","1","4","4","3","3","1","1","1","3","2","1","2","1","1","1","2","3","3","2","2","2","5","5","3","3","2","3","3","2","2","2","3","3","3","2","1","2","2","2","2","2","2","2","1","1","2","5","4","3","4"
"127","R_2Xiyr5KntdQkJCn",65,1,1,"-99",5,11,0.05,5,47,4,29,"20","3",1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,1,"3",3,3,3,"1","2","2","2","2","2","4","4","3","3","2","1","2","1","2","1","3","3","3","3","1","3","3","3","3","2","4","4","3","3","1","2","3","2","2","2","2","2","2","2","2","4","4","3","2","1","2","2","2","2","1","4","4","3","3","1","3","3","3","3","1","1","1","1","2","1","1","2","1","2","2","3","3","2","2","2","2","2","2","2","1","3","3","3","3","1","3","3","3","3","1","1","2","2","2","2","3","3","3","2","1","2","2","2","2","1","2","2","2","2","2","3","3","2","2","1","2","2","2","2","2","3","3","3","3","1","3","3","3","2","1","3","3","3","3","1","3","3","3","3","2","4","4","3","3"
"128","R_28HEMpAvLg3LvTz",39,1,1,"-99",5,12,5,5,47,4,29,"20","3",2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,"2",3,2,2,"2","1","1","1","1","2","4","4","2","2","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","2","2","1","1","2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2","1","2","1","1","2",NA,NA,NA,NA,"2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2",NA,NA,NA,NA,"2","2","2","1","1","2",NA,NA,NA,NA,"2","3","3","1","1","2","1","1","1","1","2","1","1","1","1","1","1","2","1","1","2","1","1","1","1","2","3","3","2","1","1","1","1","2","1","2","1","1","1","1","2",NA,NA,NA,NA,"1","1","1","1","1"
"129","R_9ylaZlAbwlIhY1H",58,2,1,"-99",5,2,5,5,47,4,29,"20","3",1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,1,"1",2,1,1,"1","1","2","1","1","1","2","3","1","1","2","1","2","3","2","2","1","2","1","3","2","2","3","3","4","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","2","3","4","2","3","2","2","4","2","4","2","1","1","2","2","2","2","2","3","3","2","2","3","1","4","2","1","3","2","3","2","2","3","2","4","1","1","2","1","1","2","1","2","1","2","1","1","1","1","1","2","1","1","3","4","1","1","1","1","1","2","1","3","1","2","2","1","1","2","4","2","4","4","2","3","2","1","3","2","3","1","1","1","1","1","2","2","3","1","2","1","1","3","1","1"
"130","R_2rvA1HBoFdudtG7",34,1,4,"-99",3,4,10,100,24,4,30,"20","3",2,1,2,1,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,1,2,1,1,2,2,1,2,2,1,2,"4",4,4,4,"2",NA,NA,NA,NA,"2","4","3","4","4","1","2","3","2","2","2","3","3","4","4","1",NA,NA,NA,NA,"2","4","4","4","3","2",NA,NA,NA,NA,"1","2","3","2","2","2",NA,NA,NA,NA,"2","3","3","4","3","2",NA,NA,NA,NA,"2","5","4","5","4","1",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2",NA,NA,NA,NA,"2","2","2","3","3","1",NA,NA,NA,NA,"2","2","3","3","2","1","2","2","2","2","1","2","2","2","2","2","2","2","3","4","1","1","1","1","1","1","2","3","2","2","1",NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","3","4","3","3","2","2","2","3","4","2","4","4","4","4","2",NA,NA,NA,NA
"131","R_dogyhP4htEUp8IN",61,1,1,"-99",5,6,5,5,47,4,29,"20","3",1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,2,1,2,1,"5",5,4,4,"2","4","3","4","3","1","5","5","4","3","2","3","3","3","3","2","2","2","2","2","1","5","5","4","4","2","4","4","3","3","2","2","2","3","3","2","4","4","3","3","2","4","4","3","3","2","2","2","2","2","2","5","5","4","3","2","4","4","4","3","1","4","4","4","3","2","3","3","3","3","1","5","5","4","4","1","5","5","4","4","2","3","3","3","2","1","3","3","3","2","1","2","2","2","2","2","5","5","4","4","2","2","2","2","2","1","3","3","4","3","2","4","4","3","3","2","3","3","3","2","1",NA,NA,NA,NA,"1","5","5","4","4","2","3","3","3","3","1","3","3","3","3","2","4","4","4","3"
"132","R_1PXkQAIM0TCf8f6",50,1,1,"-99",5,10,5,5,47,4,29,"20","3",2,1,2,2,1,2,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,"4",4,3,3,"1","3","3","4","3","2","4","5","3","4","2","2","2","2","2","1","3","3","2","2","2","4","4","4","3","1","4","5","3","3","2","2","2","2","2","1","4","5","3","3","1","4","4","3","3","2","3","3","4","3","1","5","5","3","3","2","4","4","3","3","1","2","2","2","2","2","2","2","2","2","1","4","4","3","3","1","3","3","2","2","2","4","3","4","3","1","4","4","2","2","1","2","2","3","2","1","3","3","2","2","2","2","2","2","2","2","3","3","2","2","1","4","4","3","3","1","3","3","2","2","1","4","5","3","4","1","4","4","3","3","1","4","4","3","3","1","4","4","3","3","1","5","5","3","4"
"133","R_BFnloidPMd0BzK9",36,2,1,"-99",7,8,5,5,47,4,29,"20","3",2,2,1,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,1,1,2,"4",4,4,4,"2","2","2","3","3","1","2","2","2","2","2","3","2","3","3","2","3","3","3","3","1","3","3","2","2","2","3","3","3","3","1","2","2","3","3","2","4","4","4","4","2","3","4","3","3","1","3","3","2","2","1","3","3","3","2","1","2","2","2","2","1","2","2","3","2","2","3","3","3","3","2","4","4","3","3","2","3","3","4","3","2","4","4","4","4","1","4","4","3","3","1","2","2","2","2","2","4","4","3","3","2","2","2","4","3","1","2","2","2","2","1","4","4","2","2","1","4","4","4","2","2","4","4","3","3","1","4","4","3","2","2","3","3","4","3","1","3","3","3","3","1","4","4","4","2"
"134","R_8dc60Or5miCmAPn",36,2,1,"-99",3,2,5,5,47,5,31,"10","2",2,2,1,1,2,2,1,2,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,"5",5,4,4,"2","2","2","3","3","1","4","5","1","3","1","4","3","2","3","2","3","3","4","3","2","4","4","2","2","1","3","3","2","3","2","5","3","4","4","1","3","3","1","2","2","4","4","4","4","2","3","3","4","3","2","5","4","5","4","2","5","5","5","3","1","2","1","1","2","1","3","3","1","3","2","3","3","4","4","2","2","2","2","3","2","5","5","4","4","1","3","3","1","2","1","2","1","1","2","1","2","1","1","2","2","4","3","4","4","2","2","2","3","3","2","3","4","3","3","2","3","3","4","3","1","5","5","1","3","1","4","3","2","2","1","2","2","1","2","2","5","5","5","4","1","4","3","1","3"
"135","R_1IvjUTKDFC7AjiP",30,1,4,"-99",2,4,5,100,47,9,29,"30","3",1,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,1,1,"5",5,5,5,"2","3","3","2","2","2","5","5","5","5","2","3","3","3","3","1","5","5","5","5","2","5","5","4","4","2","5","5","5","5","1","3","3","3","3","2","3","3","3","3","2","5","5","5","5","2","5","5","4","4","2","5","5","5","5","2","5","5","5","5","2","3","3","3","3","1","5","4","3","3","1","5","5","4","4","2","3","3","3","3","1","5","5","3","4","1","5","5","5","5","2","1","1","1","1","2","3","3","3","3","2","1","1","2","2","1","5","5","5","4","1","5","4","3","2","2","5","5","5","5","2","5","5","5","4","2","5","5","5","4","1","3","3","3","3","2","3","3","5","4","1","5","5","4","3"
"136","R_CZUTFOPJxMiwhq1",47,2,1,"-99",4,7,10,5,24,3,1,"20","1",1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,1,2,1,1,"5",5,4,4,"2","1","1","1","1","2","5","5","3","4","1","1","2","1","1","1","5","4","3","2","2","1","1","1","1","2","3","3","1","1","1","1","1","1","1","2","2","2","1","1","1","4","4","1","2","1","2","1","1","1","2","5","5","3","4","1","3","2","1","2","2","1","1","1","1","1","1","1","1","1","2","1","1","1","2","2","3","4","3","3","1","5","5","3","3","2","2","3","1","1","1","1","1","1","1","2","1","1","1","1","2","1","1","1","1","1","1","1","1","1","2","1","3","1","1","2","3","3","4","3","2","4","3","2","2","2","4","4","2","3","1","1","1","1","1","2","1","1","1","1","1","2","4","1","2"
"137","R_1rvwP6icVTbcCzD",39,2,1,"-99",3,4,5,5,47,4,29,"20","1",2,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,"3",4,3,2,"1","1","1","1","2","1","2","3","1","1","1","1","1","2","1","2","2","3","3","2","1","1","1","2","2","1","2","2","1","2","1","4","3","4","2","2","2","2","2","2","1","3","3","1","1","1","2","2","3","2","2","3","3","2","2","2","3","4","2","2","2","3","2","3","3","2","4","4","3","3","1","4","5","2","2","2","1","2","2","2","2","4","4","3","3","2","5","5","4","4","1","5","4","3","3","1","4","4","1","1","2","4","4","5","4","2","1","2","3","4","2","2","2","1","3","1","1","1","1","2","1","4","5","2","2","2","4","4","4","3","2","5","3","5","4","2","3","4","4","3","2","5","4","4","4"
"138","R_2cBMIXLCEnDZlPv",40,1,1,"-99",5,11,5,5,47,4,30,"20","3",2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,2,"3",4,3,3,"1","1","1","1","1","2","3","3","3","4","1","1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","3","3","3","2","2","1","1","2","2","2","1","1","1","1","1","2","2","2","2","2","2","2","2","4","1","3","3","2","2","2","2","2","3","3","1","1","1","1","1","2","1","1","1","3","1","1","1","1","2","1","1","2","2","2","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","2","2","2","2","3","2","1","1","1","1","1","1","1","1","1","1","3","2","2","2","2","1","1","1","2","1","4","3","2","3","2","3","3","3","4","2","1","1","1","2","1","1","1","1","1","2","1","1","2","4"
"139","R_Qp2VD8KvqtxXtqp",31,1,1,"-99",7,10,5,5,47,4,29,"20","3",1,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,"5",5,4,3,"2","1","1","2","2","1","5","5","4","3","2","1","2","3","2","1","3","4","3","2","2","3","4","3","2","2","4","4","3","4","2","1","1","2","1","2","3","3","2","2","1","4","3","5","2","1","4","5","2","3","1","5","5","2","2","2","4","5","3","4","1","1","1","2","3","1","1","2","2","2","1","4","4","2","3","2","4","5","3","3","2","5","5","4","3","2","4","5","3","3","2","1","1","2","2","1","2","3","2","2","2","1","1","2","2","2","1","1","2","2","1","3","2","3","2","2","4","3","3","2","2","5","3","4","2","2","5","4","4","3","2","1","1","3","3","2","1","2","2","2","1","4","3","3","3"
"140","R_1IzKsYUllsrFZM7",35,2,2,"-99",5,7,0.1,100,24,18,15,"10","2",2,2,1,1,2,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,"4",4,4,4,"2","4","4","5","4","1","5","5","3","4","1","2","2","2","2","2","3","3","4","3","1","3","3","4","4","1","4","4","3","4","2","4","4","5","5","2","4","4","4","4","1","3","3","3","3","2","3","3","4","4","2","4","4","4","4","2","4","4","4","4","2","5","5","5","5","1","4","4","4","4","1","3","3","3","3","1","3","3","4","4","1","4","4","4","4","1","3","4","3","4","1","3","3","4","4","2","3","3","4","3","1","4","4","3","4","1","3","3","3","3","2","3","3","3","3","2","4","4","3","4","2","4","4","3","3","2","4","4","5","5","2","4","4","4","4","1","4","4","4","4","2","3","3","3","3"
"141","R_33eTn8eiGW4wc6n",32,1,2,"-99",3,3,10,5,47,2,31,"90","2",1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,1,"5",5,4,4,"1","5","5","4","4","1","5","5","4","4","2","2","2","5","5","1","4","5","2","2","2","5","5","3","3","2","5","5","5","4","1","5","5","5","4","1","4","4","3","4","2","5","5","4","4","2","5","5","5","4","1","5","5","4","3","2","5","5","4","4","1","3","3","2","4","2","4","3","4","5","1","4","4","3","3","2","5","5","3","5","1","5","5","3","3","1","4","5","4","3","1","1","1","3","4","1","2","3","2","2","1","3","3","4","3","2","4","4","5","5","2","3","4","3","4","1","5","4","1","2","1","5","5","4","4","2","5","5","5","5","1","3","4","4","4","2","4","5","5","5","2","5","5","5","5"
"143","R_3fddDopQ98rQJBw",48,2,1,"-99",5,6,0.1,100,24,9,15,"10","2",2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,1,2,1,1,2,"3",3,3,3,"1","3","3","2","3","2","3","3","2","3","2","2","3","3","3","2","3","3","2","2","2","3","4","2","3","1","4","4","3","4","2","2","3","2","3","2","3","3","2","3","1","4","4","3","3","1","2","3","2","3","2","4","4","3","4","2","4","4","4","4","2","2","2","1","2","2","2","3","2","3","2","2","3","2","3","1","2","3","3","2","1","3","3","2","3","1","3","4","3","3","2","2","2","1","2","1","2","3","2","3","2","4","4","3","3","1","4","4","3","3","1","3","3","2","3","1","2","2","2","3","2","3","4","3","4","1","4","4","3","3","2","2","3","2","3","1","3","3","3","4","1","2","3","2","3"
"144","R_2ipE34JAHpaSSoV",39,1,2,"-99",2,7,10,5,47,4,29,"20","3",2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,"5",5,4,4,"2","3","3","4","3","2","5","5","4","4","2","3","3","4","3","1","4","4","3","3","1","2","2","2","2","1","5","5","3","4","2","3","3","3","3","2","3","3","2","3","2","5","5","4","4","2","4","4","4","4","2","5","5","4","4","2","5","5","4","5","2","2","1","2","1","1","3","3","2","2","1","4","4","3","3","2","3","3","4","3","2","4","4","3","3","2","4","4","4","4","1","2","2","1","1","1","4","4","3","4","2","3","3","2","2","2","3","3","3","3","1","3","3","2","2","1","4","4","3","3","1","4","4","3","3","2","4","4","3","4","1","3","3","3","3","2","3","3","4","3","2","3","3","3","3"
"145","R_2TQSaryldTxtE92",68,1,1,"-99",4,5,5,5,47,4,29,"20","3",2,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,"4",4,5,4,"1","3","3","3","2","1","5","4","4","5","2","3","3","4","5","2","2","3","3","3","1","4","4","3","3","2","3","3","2","2","1","4","3","4","4","2","2","3","2","3","2","5","4","4","5","2","4","5","3","3","1","5","4","3","3","1","5","5","4","4","2","3","2","3","4","2","5","4","5","5","1","3","2","3","3","1","4","4","2","3","2","4","4","4","3","1","2","2","2","2","1","4","4","2","3","2","3","3","2","2","2","1","2","2","2","2","2","3","3","4","1","4","4","2","2","1","3","3","2","2","1","4","4","4","4","2","5","5","4","4","1","2","3","3","2","2","5","4","4","4","2","2","3","2","2"
"146","R_yDR8HfDQi3RSc6d",39,2,1,"-99",2,4,5,5,47,9,29,"20","3",1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,"5",5,4,4,"1","3","1","2","4","2","4","5","4","4","2","2","1","2","3","2","3","3","4","3","2","5","5","4","4","2","5","4","4","3","1","2","3","2","3","2","5","5","5","5","2","5","4","3","3","1","3","4","4","3","2","4","4","4","4","2","4","3","2","3","2","4","3","2","3","2","5","5","4","4","2","3","4","2","3","2","5","5","4","4","1","5","5","4","5","1","3","3","2","3","2","2","2","2","3","2","3","2","2","2","1","4","4","4","4","2","4","4","4","4","2","5","5","3","3","1","2","2","1","2","2","3","4","3","3","2","5","5","5","5","1","3","3","2","3","1","5","5","4","4","2","4","4","4","4"
"147","R_3M6DqeZMPf4hgB2",37,1,7,"-99",5,6,5,5,47,4,29,"20","3",2,2,2,1,1,2,2,1,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,"3",4,2,2,"2","3","2","4","3","2","4","4","2","2","1","2","3","3","2","1","3","3","2","2","2","3","3","3","2","2","3","3","4","3","1","3","3","4","3","2","3","3","4","3","2","3","3","2","2","2","3","3","3","2","1","3","3","2","2","2","3","3","2","2","2","3","2","4","3","1","3","3","3","2","1","3","3","3","2","2","3","4","3","3","2","3","3","4","3","2","4","4","3","2","1","3","2","3","2","1","4","4","2","2","1","2","2","2","2","1","3","3","3","2","1","4","4","3","3","1","5","5","4","3","2","4","4","2","2","2","4","3","3","2","1","3","3","4","3","1","4","4","4","3","1","3","3","3","2"
"148","R_UbHbB4jmzTZpk0V",40,2,1,"-99",3,7,5,5,47,9,30,"20","3",1,2,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,"5",5,4,4,"2","1","1","3","4","2","5","5","4","3","1","2","2","3","3","1","3","3","2","2","1","3","3","3","4","2","4","4","4","3","2","2","2","3","4","1","3","3","2","3","1","4","4","3","3","2","2","2","2","3","2","4","4","5","4","2","4","4","3","3","2","1","1","2","4","2","2","2","2","4","2","2","2","2","4","2","3","3","3","3","1","1","1","3","3","2","5","5","3","4","2","1","1","1","3","2","1","1","2","2","2","1","1","2","3","2","2","2","2","3","2","2","2","2","3","2","1","1","2","2","1","4","4","3","3","2","4","4","3","3","1","2","2","1","3","2","2","2","3","4","2","4","4","2","4"
"149","R_3lRKqs9vepnoYhh",34,2,2,"-99",2,4,5,5,47,3,30,"20","3",2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,1,2,"4",4,4,4,"2","1","1","1","1","1","4","4","4","4","2","1","1","1","1","2","2","2","2","2","2","2","2","1","2","2","4","4","4","4","2","1","1","2","2","1","2","2","1","2","1","2","2","2","2","1","2","2","2","2","1","4","3","3","3","1","3","3","3","3","1","2","2","2","2","1","2","2","1","2","2","2","2","2","2","1","3","3","3","3","1","4","4","3","3","1","4","4","4","4","2","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","2","1","2","2","3","2","3","3","2","4","4","3","3","2","4","4","4","4","2","1","2","1","1","2","2","2","2","2","1","4","4","4","4"
"150","R_3eavF76Zef6m6pA",49,1,1,"-99",5,9,5,5,47,4,29,"20","3",2,1,2,2,2,1,1,1,2,1,2,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,"4",4,3,4,"1","2","3","3","3","2","4","4","3","3","2","3","3","3","3","2","5","5","3","4","1","4","4","3","3","1","4","4","3","3","1","4","4","3","4","2","4","4","3","4","1","4","4","3","3","2","4","4","3","3","2","5","4","3","4","2","5","5","3","4","2","2","3","3","3","2","5","4","3","4","1","4","4","3","4","1","5","4","3","4","2","5","4","3","4","1","4","4","3","3","1","3","3","3","3","1","5","5","3","4","2","2","2","3","3","2","2","3","3","4","2","2","2","3","3","1","2","2","3","2","1","3","3","3","2","2","5","5","3","4","2","4","4","3","4","1","5","4","3","3","2","5","5","3","4"
"151","R_3n2yTV3TV6pM5yB",28,1,1,"-99",5,4,5,5,47,4,29,"10","3",1,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,"4",4,3,3,"2","3","2","2","3","2","2","4","3","3","1","2","2","1","2","1","4","5","2","3","1","5","5","2","4","1","3","4","2","2","1","2","3","2","2","1","5","5","3","4","2","4","3","2","2","2","5","4","2","2","2","4","5","2","3","2","5","4","3","2","2","2","2","2","3","1","2","3","3","3","1","2","3","2","2","1","5","5","2","2","1","4","3","2","2","2","2","3","2","2","2","1","1","1","2","1","3","2","2","2","2","1","2","3","4","2","5","4","2","2","1","5","5","3","3","2","2","2","3","2","2","4","5","2","4","2","4","4","2","3","2","2","2","2","3","2","1","2","3","4","1","2","3","2","2"
"152","R_AjTAIInO47rxgXv",53,2,4,"-99",3,7,0.1,100,47,9,29,"10","3",2,2,1,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,2,2,1,2,2,"4",4,4,4,"2","4","3","3","3","1","4","4","4","4","1","3","3","2","3","2","3","4","4","3","2","4","4","3","3","2","4","4","5","4","2","3","2","3","3","2","5","5","5","5","2","3","3","3","3","2","3","3","3","3","2","4","4","4","4","1","4","4","4","3","1","3","3","3","3","2","3","3","3","3","1","3","3","3","2","2","5","5","5","5","1","4","4","4","3","2","4","4","3","3","1","3","3","3","4","2","5","5","4","4","1","3","3","3","3","2","3","2","3","3","1","4","4","4","3","2","4","4","4","3","1","4","4","4","4","2","5","5","5","4","2","4","4","4","4","1","4","4","4","4","2","3","3","3","3"
